uid,name,url,movie_name,rating,comment
duduxiongzhifu,嘟嘟熊之父,https://www.douban.com/people/duduxiongzhifu/,从宫本到你,力荐,电影的开端即完成了预言：怯懦的宫本试图拯救金鱼作势逃离，却亲手杀死了它，短暂的欢愉过后，是一场假意温馨的埋葬。这世界只有两类人：一种是沉睡的宫本，一种是装睡的靖子，真正清醒的人难以苟活。宫本和靖子之间存在爱情吗？当靖子的呼救被暗夜吞没之时，爱情已被埋葬。她掐着宫本歇斯底里时依然勃起的阳具，那一刻她的狂怒在于她彻底放弃了觉醒的可能。她也未曾料到于宫本而言，那是一场未经预谋的催眠，宫本依然沉睡于成为一个男人成就一个家庭的幻梦之中，他用血肉模糊的切身之痛换取靖子曾经历过的那个心被四分五裂的夜晚。在他努力准备做一个父亲的同时，靖子早已成为了母亲。影片的结尾，靖子温顺单纯的像一切从未发生过一样，她依然在装睡，身边陪伴着她的是那个始终沉睡的宫本。
citywork,Methy,https://www.douban.com/people/citywork/,从宫本到你,推荐,电视剧是在困境中时不时地释放出动物性，电影就是完全“变成野兽”（quote堤老师）。因此对公司/社会叙事的完全抹除也是无奈但必然的创作选择，这个悖论导致这部片在某种意义上成为一部真的 porn movie. 但真利子是真的会用演员和他们的身体，也或许是当今唯一一个尝试解毒并重构男性气质的日本导演。
172966091,Annihilator,https://www.douban.com/people/172966091/,从宫本到你,力荐,【91%】不赞同文本的过度解析。本片真正伟大之处，在于其将无数对立元素协调统一：古典电影（情节）与现代电影（叙事）；旧式浪漫（雨、雪）与新浪潮式浪漫（城市游魂）；现实主义根基与日剧中二魂；俗套桥段与自我解构；清新的爱情与情欲的爱情；以及，最伟大的——男性爆发（兽性）与女性觉醒（母性），能在同一部电影中完成两者而不被撕裂已不容易，本片又在此之上做到了对「性别角色」最本能的回归与最彻底的打破，堪称奇迹。类型杂糅如此繁杂矛盾，观感竟如此平滑流畅，归功于真利子哲也对情绪的绝妙把控：无论是悲是喜是怒是悔，都采用聚集爆发点、延长间歇段的形式，制造极强的「张力」，观众完全无暇喘息。影像（前半段）亦有独特风格：将戏剧冲突置于景深中段，人物沿着中轴线在空间中前后穿梭，与观众形成一种半亲密、半疏离的「暧昧距离」。
willingnotto,Rhodesia,https://www.douban.com/people/willingnotto/,从宫本到你,推荐,剧里面让我特别讨厌的成分到电影版里放大了一千倍都有，但还是很震撼的，不光因为这是这几年看过literally最暴力的片，还因为终于让池松立住了这一个轴穿地心的形象。真利子哲也拍戏就是要演员剥皮的吧…
qijiuzhiyue,桃桃林林,https://www.douban.com/people/qijiuzhiyue/,从宫本到你,力荐,这部电影，实在是……把我的各种情绪都调动起来了。有愤怒的、绝望的、难过的，最后又是感动的，甚至有些释放。真利子哲也的电影总是有特别强烈的情绪，但是，这部跟情节结合得更好，也更能让观众投入。两个主演也是让他榨干了的感觉，各种情绪都释放出来了。藏在这些情绪背后的，则是对人生的无力感。是那种我很爱，但又不知该如何推荐给别人，或者说，不知道是否应该推荐给别人的一部电影。不过，还是想去推荐。
134002125,乍暖,https://www.douban.com/people/134002125/,从宫本到你,还行,7/10。日本近几年同类型电影的合集，从《错乱的一代》到《啊，荒野》再到《你因你是你》，同一种表现方式被反复使用，习惯后所能触及的情感变得越来越淡。这种愤怒我只在日本电影里见过，在这里男性尊严高于一切。我认为这是一部没有爱的电影，女人是男人们的争夺对象，男人激发兽性本能而撕咬。我最喜欢里面奇怪的幽默氛围，那种幼稚是真诚的。交配作为动物性的另一面，在本片中是不合格的。
48868523,起个响亮的名号,https://www.douban.com/people/48868523/,从宫本到你,力荐,刚开始的R15吓了一跳，宫本是这样的来着吗？最后结尾一下子崩溃爆哭，舞台挨拶的时候也是忍着眼泪都没看清真人。想起自己看完电视剧后还哭了好长时间，宫本就是这样的！那么傻、执着、热情，想到什么就去做的人！这样的宫本变成爸爸了！真的大丈夫嘛！幸福是痛苦的，感动是脆弱的，我和这个世界就是这样的关系！
veverlee,内陆飞鱼,https://www.douban.com/people/veverlee/,从宫本到你,推荐,台词太密集，一直咆哮到耳朵炸裂；颓丧变悲惨，经常性撕逼哭泣；介乎于《错乱的一代》和《从宫本到你》（日剧版）之间，没有前者暴躁和空茫，也没有后者失败者的爆发，成人向的职场，补救式的婚约，乱殴式复仇，不过导演和主演池松壮亮依然牛逼，消防楼梯上那一场斗殴对决，剪辑简直了，蚍蜉撼大象，决心与勇气第一，打到趴下也要抓蛋取胜，燃爆，每当牙床暴露就笑惨。哎哎，这些年观察下来，苍井优定律业已形成：每演女主，必是事事不顺的悲情苦主（如《她不知道名字的那些鸟儿》《漫长的告别》《从宫本到你-电影版》等）；每演配角，必是潇洒加帅气（《从宫本到你-日剧版》《恋爱回旋》），算了不忍盘点了……
ILWTFT,文森特九六,https://www.douban.com/people/ILWTFT/,从宫本到你,力荐,一场佩金帕式蓄力，嵌套住一个十分钟怪兽格斗番的残暴释放，彻底激活了这样一对希望与绝望并置的男女养成同谋。剪辑手法如同电影本身狂暴的行为引擎，摧毁叙事惯性摧毁旧情节程式，拳头、嘶吼、血液、泪水卷进穷途漩涡，如被逼上绝路的野兽，不择手段，互欺互救，誓死搏出的，并非尊严和价值，仅是生命的正常呼吸。下一代成了彼此牵挂幻梦的筹码，维系缥缈却坚定的脐带，只为报仇后可以麻木的止血、拥抱、顺从，继续备战下一轮血肉横飞的征服。错乱的一代的猛烈攻击性在此得到了详尽注解，不再回避，为准备死去而偏执兽性的爱着活着。
flowermumu,欢乐分裂,https://www.douban.com/people/flowermumu/,从宫本到你,推荐,看得几乎同步吐血，比剧版更升级的癫狂，以一种迷人的错乱与切入骨髓的痛感，让观者沉浸其中。在铜墙铁壁的世界中作困兽斗，与全世界为敌，摧毁更弱之人的勇气，我们就是一群遵守冷酷丛林法则互相撕咬的怪兽啊！然而，“你是我的敌人”——又多么明亮，多么美，彼此挖开的伤口像是开在血泊里的恶之花，以身体的残破完成征服星途大海，拳拳到肉是卑微如我留给你们的证明。丧到极点，反向生出丝丝暖意——“活着的人都是坚强的”。
