uid,name,url,movie_name,rating,comment
jackielv123,Giacomolyu,https://www.douban.com/people/jackielv123/,关于无尽,还行,这感觉就像对一个冷漠的人讲了一千个冷笑话。
huhu1999,九只苍蝇撞墙,https://www.douban.com/people/huhu1999/,关于无尽,推荐,罗伊安德森在此片中的画面构图是这样的：画面中永远有明示或者暗示透视现象的线条，甚至雨中操场泥地里的不同水迹也是一致倾斜过来和画面的边框形成明确的夹角。画面的摆放永远水平于两条或者几条透视线的夹角，夹角的位置永远正对着画面水平线的四分之一或者四分之三处。这一点尤其在室内空间时特别明显，每一个室内画面内都可以找到两条透视线的夹角。而绝大多数人物尤其是配角演员，都严格沿着透视线条的方向移动，但在每一场戏中，主要人物都在规整运动中突然变换移动方向，或者停下不动，或者和主运动方向侧向和逆向，他打乱队形，立刻成为整齐划一运动中的强烈错误式的不和谐音。罗伊安德森由此创造了一种在纳粹一般窒息的科学一致中，突然情绪崩溃式的情感异动，那种戏谑式的悲哀和精神绝望便由此而生。
snowblink14,季恩熙,https://www.douban.com/people/snowblink14/,关于无尽,推荐,夏加尔式的怪诞幻想，弗里德里希的泛滥浪漫主义。暴力温情共存，平庸和史诗相辅相成。你我，100万年后以土豆和西红柿的形态再次相遇，一起漂浮在微缩的废墟之上。爱，永远高于毁灭，短小而无限。
btr,btr,https://www.douban.com/people/btr/,关于无尽,力荐,#VIFF 如假包换的罗伊安德森。Oulipo式的「我看见」=人类状况：无尽的苦难（大到希特勒，小到迷路）和零星的慰藉（一小段少女之舞）。布莱希特式的，荒诞的，幽默的，也展现了强大的处理空间的能力：活画式的画面经常分为内与外，上和下，而故事不总发生在最显眼的地方。
Allan.Vr,南悠一,https://www.douban.com/people/Allan.Vr/,关于无尽,推荐,"罗伊·安德森总是对尘世保持着距离，以一个审视的姿态观察、创作。电影的旁白像是来自一个与这个世界毫不相干的人，捕捉那些荒诞又日常的时刻，用喧嚣衬托孤独，用幽默描绘历史图景，用一个个冷漠的戏剧场面表达思考、立场，甚至政治控诉。

其中，一个饭馆的场面让我想到画家霍珀，也突然明白了罗伊·安德森冷漠背后的热情，他强调“观看”的私密性，用极简风格建立和观众之间的连结，让我们感受他的情绪，最后走向自己。4.5"
zhangzongqian,亵渎电影,https://www.douban.com/people/zhangzongqian/,关于无尽,推荐,总有这类大师的电影，在你觉得对电影略知一二的时候冒出来，让你觉得自己还差得远呢。如今的艺术电影都越来越类型化，而罗伊·安德森就是那种艺术电影无法复制的存在，他独一无二，非常独特，导演的作者风格独树一帜。除了能摆出那些独特的构图，镜头内以静制动的精巧调度，他的想象力和创造力还可以飞起来，这次就像《空中的恋人》一样，飞起来俯瞰众生，他的创作随着年龄的增长真是越来越神了！
hexiaoqin,谋杀游戏机,https://www.douban.com/people/hexiaoqin/,关于无尽,还行,还是这种...一分钟短剧集的风格？人间大小悲欢，喜欢性冷淡风的调色。做这位导演的演员基本都很省事，找准位置站着坐着不动就好了。倒胃口的是第一次见识到威尼斯电影节的全程评论音轨，当地一家四口在我背后一刻不停说笑模仿台词，好吧哪个国家都有这种不知道从哪搞张首映票就来祸害别人的傻逼
syfan,野蒜,https://www.douban.com/people/syfan/,关于无尽,还行,连看四部罗伊安德森的作品真的会审美疲劳，寒枝雀静后传，北欧静物展第四弹罢了，火山灰簌簌落在主角灰白的脸上，像是什么异度空间，人们没有性生活。
7542909,翻滚吧！蛋堡,https://www.douban.com/people/7542909/,关于无尽,推荐,虽然一样的固定长镜头和荒诞冷峻，但看他的片子总不觉得腻味。《寒枝雀静》中国王闯进酒吧一幕如法炮制成耶稣街头接受审判，空中飞翔的恋人和乡间酒吧跳舞的女孩两段大概是最不典型的罗伊·安德森风格，加在其中却别出心裁。
MovieL,木卫二,https://www.douban.com/people/MovieL/,关于无尽,推荐,在中国影迷异常兴趣的拿奖学问上，RA跟阿亮、金老小子一样一招鲜，吃掉威尼斯半边天。小到一颗牙发痛，大到纳粹毁灭，都变成了“我看到”的千夜故事，夏加尔的情侣跟着歌声从天上飘来，俯瞰被轰炸的科隆。镜头注视着被驱赶西伯利亚流放的德军，又安静看着一个父亲给女儿系鞋带。震撼指数和意外指标，其实没有前两部作品强，反倒是故事女声的画外音存在，可能会招致不少人的抵触，即它代表了某种抒情的企图。
134002125,乍暖,https://www.douban.com/people/134002125/,关于无尽,推荐,7.5/10。我看见一个人，看完标记了这部电影。加入了语言迟钝描述的手法，表现方式比《寒枝雀静》更进了一步，这是属于未来的电影。导演是个冷幽默大师。可惜幽默的内容少了。绑鞋带的人和希特勒，杀人和倒酒，空中的人和梦里背的十字架，众生平等。看完反而意犹未尽，想一直看下去，无穷无尽。
veverlee,内陆飞鱼,https://www.douban.com/people/veverlee/,关于无尽,推荐,人烟稀少、气候寒凉的北欧，天生自带疏离感，稍微一布置就呈现后现代荒诞，果然适合罗伊.安德森这种冷感的片子，无尽的空虚，无尽的沉默，无尽的凝视，无尽的苍白，无尽的喧嚣，无尽的过去，无尽的肉身慢慢消逝，无尽的天空大地海洋绵延，无尽的时间没有终点……
cabaret,陀螺凡达可,https://www.douban.com/people/cabaret/,关于无尽,,no
lotusT,Wallys,https://www.douban.com/people/lotusT/,关于无尽,,#Venezia76 如果Roy Andersson成為youtuber，我會訂閱幫他增加追蹤數，然後從不打開來看。看他電影的場景比他的電影更「Roy Andersson」，想像：一個觀眾呆坐的大戲院，走道過去一個人全程玩手機，右邊坐的人不時拿手機出來確認時間，附近一些人已睡著，而偶爾有人捧場發出大笑，螢幕打上Roy Andersson作品——無時無刻鼓勵著人們丟下他的電影上街去，去生活，去笑，去自食其力，用自己生命的溫度，不要食「用畫的構圖光線筆觸上演讀者文摘等級的（冷）笑話」的無味殘羹冷炙。
ruo1996,徐若风,https://www.douban.com/people/ruo1996/,关于无尽,推荐,人活于世，艰难营业、假装正常、麻木无尽。在电影没有大师的时代，罗伊·安德森也算是让自己做得出色了。如果硬要在鸡蛋里挑骨头，可能就是不少点子处理得有点太合理，不够怪奇：被强行幽默化的残酷现实，所以引用夏加尔的《空中的恋人》，因此合拍；借用女人声音这个“上帝视角”把无序碎片的叙述方式合理化、整合化，将《一千零一夜》的灵感套用进来，也是如此。
67436969,土嗨八贤王,https://www.douban.com/people/67436969/,关于无尽,推荐,依旧是罗伊·安德森的风格，舞台式场景，多层次空间，荒诞派表演，虚无式情节。《关于无尽》同过去相比，则对传统叙事反叛的更加彻底。在几乎彻底放弃逻辑情节之后，影片以如“浮世绘”般的全景式段落拼贴呈现。以上帝视角为旁白，影片描述的更像是关于无尽的苦难，从生活片段，到生离死别。偶有欢愉，但多是无奈。毫无疑问影片在艺术性上保持着极高的水准，导演以北欧人独有的冷淡，讽刺着世间的生活。
122592904,🌵🌵,https://www.douban.com/people/122592904/,关于无尽,,当时连着看完生活三部曲之后记忆就已经串了，现在罗伊安德森又拍出这样一部（易懂得多）是有点尴尬的，不过他太低产了，时隔几年再看到那些精心抓取到的关于生活的真相并不会感到厌烦。
lacarosado,_8estrid,https://www.douban.com/people/lacarosado/,关于无尽,推荐,太喜欢stand still stay silent的梗了，难怪是拍广告出身的哈哈哈哈哈
54056542,张华弥,https://www.douban.com/people/54056542/,关于无尽,推荐,比起创造力不再巅峰这件事，更让我遗憾的是过于明显的温情。（终于能最简练地把握RA风格：对准房间角落拍广告张贴画
DukeMexican,没十斤公爵BOT,https://www.douban.com/people/DukeMexican/,关于无尽,推荐,"4.5，以原初的，合一的想象开场，又在机械的不和谐性结尾。荒诞来源于基督教牧师宣称自己不再相信，而在他的梦中却以效法基督的状态出现在街道之中，被唾弃，被惩罚。却又在现实之中被新式宗教的心理学崇拜拒之门外。《关于无尽》起源于某种业已完成的战争之下的创伤书写，它属于二战结束之后的现代主义，又横向地与当代影像叠加。与此同时，在罗伊的影片中，我们第一次看到某种形如“拯救”：当少年情侣在房间里运用热力学定律讨论“性”之时，他们是活在想象之中的，唯一不荒诞的的两个存在。
“我看到.....”在《关》中，RA似乎尝试着采用另一种剪辑方式，影像之中的空隙与将其作为单一，树状结构连接起来的画外音。这种“观众友好性”对于以影像著称的导演而言无疑是一种倒退。“空间”失去了之为空间的魔力。"
56922790,哼哼.floweray,https://www.douban.com/people/56922790/,关于无尽,还行,"一杯喜剧，刚遇味蕾便有了苦涩，入吼则有了酸甜，咽下的却是荒诞，在胃中分解的全是悲剧。
这就像，你让我思考人生，我慵懒地看看午后的阳光在自己身上斑斑点点地作画，于是想用刀划开，再用血调试一下这五味杂陈的恍惚。"
yinxiang,胤祥,https://www.douban.com/people/yinxiang/,关于无尽,力荐,#49th IFFR# 威尼斯最佳导演奖→鹿特丹Perspectives-The Tyger Burns。9分片。31个镜头。罗伊安德森真是越看越喜欢（正在从头补），一场一镜尬冷小段子电影总舵主（苏雷曼总还是跟他差点意思），总能摆出一个特别个性的机位角度，并拍出一种独特的色调（低反差+水彩画的感觉），有着极高辨识度。眼界和想象力也是古往今来天上地下可以跟马利克大仙一战，同时跟伯格曼的命题“失去了信仰怎么办””衰老和记忆“等等正好形成一个回应关系。相当赏心悦目。
itheque,罗宾汉,https://www.douban.com/people/itheque/,关于无尽,还行,反反复复都用同样配方烹煮同样的食材，确实难免让吃货感到腻味。上一部擒获金狮奖的《寒枝雀静》就有类似的毛病，这部稍微有转变的是人物行动速率有所加快，脸上也不再涂白色的灰，诡异程度有所降低，加入一把女声叙述和调侃剧中人物的设计最能产生跟观众的互动性，值得赞赏。当然，喜欢他作品主题的影迷自然也不会失望，人与人之间的冷漠与无法沟通，信仰缺失导致的心理危机，以及用戏谑方式重构历史事件/人物的手法依然很有效。影片名字指的是热力学第一定律，能量守恒而永恒不灭，由此，关于永恒无尽还有很多值得思考的内容。片中夫妻两人拥抱着飞翔的画面跟已故葡萄牙大师导演奥利维拉的《安吉莉卡奇遇》里的一个场景如出一辙，大师心灵相通绝对不是随便说说。
flowermumu,欢乐分裂,https://www.douban.com/people/flowermumu/,关于无尽,还行,3.5；30多个碎片拼成的图景基于日常的写照，却参透着人类生存永恒的境况；以上帝俯瞰苍生的视角诉说生命伤痛的无穷无尽，恋人飞过城市废墟的上空，爱与死，等待与错失，生活的平庸，历史暗角闪现的残酷。碎片与碎片之间的时间显然有线性的流动，但空间显示的场景却往往是静止的，这种显性的落差也进一步强化了荒诞感。
jundle,盲忙,https://www.douban.com/people/jundle/,关于无尽,推荐,都这么痛苦，为什么还活着呢？死也很痛苦啊。
46070819,のり子,https://www.douban.com/people/46070819/,关于无尽,,抓到ㄌ...居然有一顆移動鏡頭 @0@
missixyujun,余小岛,https://www.douban.com/people/missixyujun/,关于无尽,还行,空旷无人，灰度适中，夏加尔over the town。一场一镜，短视频合集，罗伊·安德森眼中的二十四帧。。不过还是再次确认了，我不喜欢罗伊·安德森。
93124222,寒枝雀静,https://www.douban.com/people/93124222/,关于无尽,推荐,C＋/ 成熟版本的罗伊安德森的魅力不仅应该在于镜头/语段之内，更应该在之间。但加入了一个旁白来“观看”时，这种沉默的联结与驱动力被削弱了，效果反而不太好。
15401327,Sabrina,https://www.douban.com/people/15401327/,关于无尽,还行,太空虚了，目前的状态很不喜欢。
raquelycidas,Lycidas,https://www.douban.com/people/raquelycidas/,关于无尽,推荐,看到依然有人执着于以优雅来谈论历史，映照现实，戏谑荒谬，慰藉悲伤，就已经足够了。
fupies,于小狮,https://www.douban.com/people/fupies/,关于无尽,推荐,短视频大王
2434887,丁一,https://www.douban.com/people/2434887/,关于无尽,很差,"导演得了威尼斯金狮奖，
把一根香蕉用胶带粘在墙上，
又得了威尼斯银狮奖，
导演决定了，
把签了名的马桶送去戛纳"
gegejing,咯咯精,https://www.douban.com/people/gegejing/,关于无尽,力荐,是不是都很棒棒 什么棒棒 一切都很棒棒呀 起码我这么想 okay 飞行 喝酒 浪漫 all of me
3403686,超cute侠,https://www.douban.com/people/3403686/,关于无尽,推荐,还是罗伊·安德森的片段式叙事，这次还加了女声旁白，疏离有余稍显呆板，在电影里展示的生活截面带有苦涩尴尬的纹理，如同在公交车上落泪的男人，导演尊重个体悲伤的权力，但又似乎找不到解决之道，只能化作牧师对自己丧失信仰的诘问，片子最魔幻的时刻要属在废墟上漂浮的情侣，镜头带有一定距离的抓住了这种破败的浪漫。
