uid,name,url,movie_name,rating,comment
beattywell,毛毛毛男,https://www.douban.com/people/beattywell/,后会有期,推荐,it's  cool~
luerdelphic,luerdelphic,https://www.douban.com/people/luerdelphic/,后会有期,推荐,好笑，温情，帅到，基情，该有的都有了。。。。不滥情不硬嗑，剧情的冲突发展和流转都很流畅。几位主演太喜感了，所以虽然感动，倒也没哭出来，哈哈哈。华裔小哥哥真帅真甜真壮，给我来一百个好不好。。。
luzhiyu,陆支羽,https://www.douban.com/people/luzhiyu/,后会有期,还行,3.0。
ifanmu,梵目,https://www.douban.com/people/ifanmu/,后会有期,还行,关怀人生
64977335,feeling,https://www.douban.com/people/64977335/,后会有期,还行,影2099：他们的需求和尊严，需要给予。
stevecarell,基瑞尔,https://www.douban.com/people/stevecarell/,后会有期,还行,第N个版本和换一种搭配的“XX的愿望”，“兄弟们”“性尝试”“囧途”等固有套路一个不少，所以故事没有太多新意。但加分点在于没有刻意滥情，只是在很合适的时候给予角色命运与矛盾颇为自然的转折或是不间断抛出笑点（荤段子），完全是可以获得纯粹一乐的公路喜剧；还有《成长边缘》后，除去零散的电视剧客串外，很久很久都没看到司徒颂曦小哥了（快给我火！）。
kiki204629,kiki204629,https://www.douban.com/people/kiki204629/,后会有期,还行,他们只是想和普通人一样。虽然很囧，但很真实
fightim,横丫肠,https://www.douban.com/people/fightim/,后会有期,推荐,尋找尊嚴的性旅行，沒錯，性即尊嚴。
simpledragon,十六。,https://www.douban.com/people/simpledragon/,后会有期,推荐,有时侯，忘记好过非要去克服。对这群人来说，克服意味着不自由，意味着要以放弃尊严为代价去乞讨欲望。开局因冲动而上路，结局因想通而回到原点。没有什么改变，平静就是继续下去的最大力量。几个人配合的说唱是真好听。
53550852,蒙奇D,https://www.douban.com/people/53550852/,后会有期,还行,7分。我觉得这部电影里的华裔演员司徒颂曦更适合演尚气。又是一部带有悲剧色彩的喜剧，很好笑，是我的笑点，最后也挺好哭的。三个残疾人的性需求之旅，一个近乎全盲，一个全身瘫痪，一个下肢瘫痪，一个雇来的司机，一个临时的组合。最后他们不仅达到了目的，还收获了爱情、友情、久违的放松和做人的尊严。后会虽然无期了，可是离开的人给了剩下的人新的人生。看起来是很多前作电影基础上的改编，其实是真实事件改编的。
1001195,斯坦利•赵,https://www.douban.com/people/1001195/,后会有期,还行,女主真是又黑又胖。
fndxm,Wednesday,https://www.douban.com/people/fndxm/,后会有期,推荐,3+，翻拍自荷兰电影《人生最棒的旅程》，残疾人寻“爱”之旅。寻爱本身是一个典型事件，又代表着更广的诉求。残疾人除了弱势、自卑，还有来自家庭、亲人以爱为名的束缚，尤其后者敏感又复杂。影片用喜剧包装，从“偷偷”到无奈面对必须表达，处理的还不错，整体偏温情、美好
Rabit43127157,老怪CXJ,https://www.douban.com/people/Rabit43127157/,后会有期,还行,残障人士可以像正常人一样寻求性旅程。
79066552,Tom,https://www.douban.com/people/79066552/,后会有期,推荐,好的公路片永远让人感动
71128052,绝望的状态,https://www.douban.com/people/71128052/,后会有期,还行,小说豆瓣这次的不用心，简介都不用中文，其次，电影其实拍的还不错，虽然是残疾人士，但是他们追求性尊严的旅途，其实也是每个人寻求自我尊严的旅途，一个人非要到没有后路的时候才会想着改变，虽然有那么多的不公，那么多的不顺利，但是，当你真正去努力的时候，社会也会给你温暖的怀抱……
120274901,1号游客,https://www.douban.com/people/120274901/,后会有期,还行,充满人性关怀，这才应该叫后会无期吧，与《亲密治疗》同一题材，加入了公路剧情显得更有趣味，不过对白一般，亚裔男也不怎么讨喜，减弱了本该得5星。做完出来神清气爽得表情真逗乐我了。
may5may,无奇,https://www.douban.com/people/may5may/,后会有期,推荐,不知道为啥，看得我特别有感触
queenchelsea,pixiedust,https://www.douban.com/people/queenchelsea/,后会有期,还行,有一点儿难过呀
shegoChen,Red.,https://www.douban.com/people/shegoChen/,后会有期,推荐,片子里里外外透露着贫穷，导演也没把演员的演技激发到最好，但还是挺可爱的。海边那段感觉特别对
drinkfang,Drink,https://www.douban.com/people/drinkfang/,后会有期,还行,确实非常老套俗套，但是还挺感动的，For Freedom. 很喜欢里面那句回答：Let biology take over Don’t plan anything 
141078312,Xanax,https://www.douban.com/people/141078312/,后会有期,推荐,居然是真实事件改编。pubic hair和funeral rap还是蛮加分的。此外就是低配版的《阳光小美女》混合《性福疗程》，但是趣味度和表演上都过于表面化了。3星，为了人情味再来一星！
49854579,徐小乙,https://www.douban.com/people/49854579/,后会有期,还行,没拍过的题材
kp81ndlf,金利是个省油灯,https://www.douban.com/people/kp81ndlf/,后会有期,推荐,喜剧表象下的忧伤。很鲜明的设置，不用特别精巧的构思，也能直奔主题的意义。无论你是笑了，还是动容了。
54127855,咻咻,https://www.douban.com/people/54127855/,后会有期,推荐,很棒的一部电影，有搞笑之处也令人深思
york_wu,york,https://www.douban.com/people/york_wu/,后会有期,还行,让我想起了几年前海伦亨特演的那部严肃版的。
43892300,andredao,https://www.douban.com/people/43892300/,后会有期,,既有前作蓝本做底，又号称受到真实人物事迹激发，成色确实只算一般，但个人觉得冲着司徒颂曦，可以打到7分。而且这种这种破处之旅，国内都不能拍呢。
