uid,name,url,movie_name,rating,comment
hexiaoqin,谋杀游戏机,https://www.douban.com/people/hexiaoqin/,悲惨世界,推荐,看完大概能明白，为什么这位从没拍过长片的导演初出手就能杀进戛纳主竞赛。整个电影的观感从“渐入佳境”到“触目惊心”，开头就是一场以凯旋门为背景的庆祝大游行，然后三个便衣警察，漫无目的的街头巡逻，抱团的有色人种，不断触发和升级的暴力冲突，互相以暴制暴的恶性循环……除了真枪以外什么武器都上了，楼内警察跟一群黑人孩子的群殴戏震撼，而这一团乱麻只是因为两个顽皮小男孩而起。结尾在一高一低的对峙时刻戛然而止，留出开放空间。虽然总往雨果和悲惨世界上扣题略显刻意，但影片整体的纪实感、街头感、不着痕迹的调度与表演、对当下现实的反思对于新导演而言都较为出色。法国拍出这样的电影，选进了主竞赛，有的国家却……
MovieL,木卫二,https://www.douban.com/people/MovieL/,悲惨世界,推荐,聊H-K之前，不如都先看看这部电影？其实没啥关系，只是看着结尾字幕，想起来事。巡逻警察小队两日游，在街区遭遇各种剑拔弩张的嘴炮，持续的精神高压，最终迎来大爆炸。导演把观众从世界杯的狂欢情绪，迅速拉入黑巴黎斯坦的生活日常——如果没有骚乱，那骚乱只是在青少年成长的路上。片子玩了个小心思，当你以为原来就讲那么大一点事，爆炸已经准备就绪，展开无差别攻击。三个警察代表了不同的群体，点火完毕的燃烧瓶，也留足了悬念。
ruo1996,徐若风,https://www.douban.com/people/ruo1996/,悲惨世界,推荐,4.5  上次看100分钟的电影感觉只过了半小时的还是《地心引力》，视听和表演都太猛了，可谓惊心动魄。我们虽然身处2019年，但仍要面对着1862年，甚至存在得更早的问题。它们每一桩都是难解的，又都是简单的——“没有坏草，也没有坏人，只有坏的庄稼人”。导演用并不复杂的手法构建出极有概括力的事件，背后是深入的黑人社群观察和政治议题的落地化。即便部分桥段的转折用力地有点“过”，但创作者的位置与视角是绝对妥帖的。
huhu1999,九只苍蝇撞墙,https://www.douban.com/people/huhu1999/,悲惨世界,力荐,4.5。能感到一种和人物站在一起的贴身感。每个人的行动困境和面临的两难抉择都刻画的惊心动魄。本以为影片会结束在非正义和不公平的和稀泥状态。但是创造者的视角高出一筹，他意识到无论是警察还是黑帮，正义公平的缺失，对责任归属视而不见的一团乱麻，必将导致最底层受害者无因暴力式的无政府式反弹，所有的好人、坏人和中间分子都会被拖入无法解扣的互相仇恨之中。整个世界任何的观念、制度、种族、宗教和阶级冲突最后都将面临这样毁灭性的困境。特别是在耶路撒冷这个城市看到这样的影片，感受尤其强烈。本届戛纳电影节的金棕榈应该在这里，这个评审团真是由一群毫无视野的文盲有闲阶级白左组成的。
samantha-jy,白月,https://www.douban.com/people/samantha-jy/,悲惨世界,力荐,很难想象这只是处女作，现在只有法国敢拍真正揭露现实的种族题材的电影了吧。所有演员表演得浑然天成，真怀疑是不是导演直接去街上找的。不过，住政府廉租房的小孩居然有无人机到底是怎么回事，就算巴黎中产阶级的孩子也很难有吧。
xilouchen,西楼尘,https://www.douban.com/people/xilouchen/,悲惨世界,还行,笼中狮因为皮鞭的驯养忘了自己是野兽，执法者因为手握的枪支以为自己是神明。明明都在同一个街区长大，披上制服的警察和肤色不同的市长已经分了阶层。砸碎街边女孩的手机，以为也能砸碎高空无人机的内存卡。能把马戏团的狮子偷走，也能上演一场反抗极权的复仇。没有邪恶的植物和人，只有邪恶的培育者。
raquelycidas,Lycidas,https://www.douban.com/people/raquelycidas/,悲惨世界,推荐,4.5 各方面都颇见水准的处女作。并没有人出生就是恐怖分子，走到极端的自私和恶意，才会催生暴力之花。令人遗憾的是，从雨果的年代至今，世界还是那个悲惨世界，报复只能以报复回答，暴力的结果只会是更多的暴力。和前一场的《钱》形成完美的主题延续。（《黑色党徒》的结尾也让人有如此唏嘘）
petercat,Peter Cat,https://www.douban.com/people/petercat/,悲惨世界,力荐,《为所应为》应有电影史地位这部应该有；《流浪迪潘》偷走金棕榈，可以考虑分给这部。
vividtime,LORENZO 洛伦佐,https://www.douban.com/people/vividtime/,悲惨世界,推荐,延续短片风格，成片很有力量，街头戏份真实刺激，最后的楼道大战调度惊人。抛出的问题尖锐直指法国乃至欧洲各国现状，无解命题背后是对社会制度的深思。虽然有设计感，但作为导演的长片处女作真的很惊艳。维克多雨果小说［悲惨世界］里的因果报应也在电影里对照上演。
45008619,Joker,https://www.douban.com/people/45008619/,悲惨世界,推荐,高贵的雄狮在笼中呆坐，关不住弱肉强食的森林法则。沉默的眼睛在天空游荡，看不尽痛苦无助的芸芸众生。如果发泄怒火才能换来倾听，那凯旋门前的欢呼是否能驱散仇恨。如果好勇斗狠才能换来尊重，那马戏团里的哭声终究会扼杀笑容。在这看似宁静实则汹涌的悲惨世界，谁来给孩子们的天空画上一道彩虹。首先想起东木《完美的世界》，随后是保罗哈吉斯《撞车》，虽然本片的创作理念上主要突出的是社会意识形态差异所导致的冲突，但最终指向确实落在少年一代，面对那些气势汹汹的大人脸上的暴戾，他们眼中的凶狠，他们传递的恃强凌弱，他们遵循的目无法纪，统统尽收眼底，最后转化为少年手中熊熊燃烧的怒火，狠狠的砸向悲惨世界。相比东木刻画出的温情守望者，这里只有雨果笔下的邪恶庄稼汉。节奏的铺陈与社会视角的描摹精准且老练，完全不像处女作，看好导演。
