uid,name,url,movie_name,rating,comment
VinKhan,斯齊佐飛力尼克,https://www.douban.com/people/VinKhan/,时光机,还行,导演错误估计了自己的编导功力和女主演技的感染力。“你来道歉时，我很生气。感觉就像是道歉之后就不必负责了，所以我只好原谅你，对吧？如果我不原谅你，就是我的问题，就不再是你的问题了。仿佛你把所有的罪恶感全加诸在我身上，然后你就一走了之。”
77062412,自在小姐77,https://www.douban.com/people/77062412/,时光机,还行,很像一个自私的人进行的自我感动仪式
kejinlong,有心打扰,https://www.douban.com/people/kejinlong/,时光机,还行,1.浏览照片仿佛搭乘时光机回到照片里的时光；2.扔掉东西意味着扔弃一份又一份情感和回忆；3.这或许就是我房间里总是乱糟糟的真正原因，不是因为我懒，而是因为我是一个念旧的人。
qijiuzhiyue,桃桃林林,https://www.douban.com/people/qijiuzhiyue/,时光机,还行,整个电影的感觉有些许日本，淡淡的，慢慢的，小的情绪，包括断舍离这个主题。抛弃过去那些旧的物件，其实也是对曾有的回忆的重寻与放弃，最终告别过去，重新开始，都是小情绪与小伤感。
duduxiongzhifu,嘟嘟熊之父,https://www.douban.com/people/duduxiongzhifu/,时光机,推荐,"就当是一场梦，醒了很久还是很感动，还是很想被你保护我心里的惨痛。喜欢我一定很辛苦，其实我全都清楚，放心这世界很坏，但我记得你的叮嘱。淡黄的长裙，蓬松的头发，牵着我的手看最新展出的油画。无人的街道，空荡的家里，就只剩下我一个人开狂欢的party。
目光投向旧物是沉浸的，投向故人则是躲闪的，如镜头同样在摸索与人物对视的方式，远探、侧颜、背影，直到睹物思人的“人”真实出现在眼前，才得以诚实地面对自我。几次对话都是以多人全景为始，待崩裂之时转为正反打，以空间的撕裂宣告孤单的终局。女主以“舍弃”为刃保护自己，却终被“舍弃”自伤，时间的回溯同样成为情感的回旋。"
jessicazt,Summer,https://www.douban.com/people/jessicazt/,时光机,推荐,我早已为你种下，九百九十九朵玫瑰。从分手的那一天，九百九十九朵玫瑰。花到凋谢人已憔悴，千盟万誓已随花事湮灭。
SamsonOu,一朵潛水云,https://www.douban.com/people/SamsonOu/,时光机,还行,納瓦彭的正常發揮。情緒上面比較像是延續《死於明日》那種調子(但因為劇情片為主，節奏不會比《死》慢)。一個比較明顯的變化是，該片的調子已經很不像之前《戀愛診療中》那種隨時會讓人心臟病發的情緒把控。而這轉變的確會讓人輕鬆不少。從丟棄舊物開始到聯繫到兩者之間的感情，主要是在徘徊著那種反覆錯過與後悔的滋味當中，但還好。很讚賞納瓦彭在處理愛情題材上還堅持著不拍親密鏡頭不拍床戲不譁眾取寵這點，值得讚賞。希望能保持下去。
babulliu,把噗,https://www.douban.com/people/babulliu/,时光机,推荐,极简主义是幌子，讲的还是时间、记忆和情感。
flowermumu,欢乐分裂,https://www.douban.com/people/flowermumu/,时光机,推荐,物件可以丢弃，记忆却无法删除；记忆可以篡改，心灵却无法说谎。最后一镜直直推到眼前，我们就是这样微笑着说谎，甜蜜地虚饰，总有办法为自己的怯懦和自私寻到一个磊落而具有自我说服力的理由。那些承载着往事、浸润着情感、寄托着心意的零零件件，在经过物理形式的断舍离之后，当真能离开我们的生命吗（做过这些蠢事的人表示绝对不会：撕碎的照片，淡去的字迹，卡带的音轨，陈年的明信片。）；舍弃，归还，甚至是道歉，其实最终都是迎合自己的心意——“就像是道歉之后就不必负责了，所以我只好原谅你。”剖析得很是深入，为照见自己蠢笨丑陋的灵魂而汗颜，代入感过于强烈。切入点小而准，格局精微，手法处理轻盈；前景遮挡的对切构图，如半明半昧的现时与过往对比，空间内的横移如水漫过。
dyalan,刘浪,https://www.douban.com/people/dyalan/,时光机,还行,近年泰国电影的典型处理方式，用情感空间取代环境空间。用极简去除掉空间层次，又用垂直推轨作为主运动方式，极大地弱化掉透视关系。其实是一个如何彻底拥抱数字时代的故事，从原始的书籍/音乐/图像，转向数码初期的数字介质（CD/硬盘），最终去介质化成为云上的一串数字。无法处理的实体物件则将移到废纸篓，停顿，倾倒废纸篓。末尾两处更是明显，母亲多余的哭诉杂讯被降噪的反向声波抵消，烟火是电视图像，时间是手机数字。
