uid,name,url,movie_name,rating,comment
135824009,一顷,https://www.douban.com/people/135824009/,特拉维夫在燃烧,推荐,"导演爱费里尼，意大利观众爱喜剧。
淡如水的地平线掌声最长的一次，虽然中间节奏还是有点问题。"
glim,glim,https://www.douban.com/people/glim/,特拉维夫在燃烧,推荐,lost in translation x 巴顿芬克
ursula74,Moning,https://www.douban.com/people/ursula74/,特拉维夫在燃烧,力荐,9分。剧本写得真不错。浪漫与政治层层叠叠。严肃与闹剧。12/06/2018
janice5680,[已注销],https://www.douban.com/people/janice5680/,特拉维夫在燃烧,力荐,一出烂俗言情剧，牵动巴以大妈的心，女主角摇摆于两国情人之间，如何才能皆大欢喜地收尾，在死亡和仇恨之间寻找第三条路？说的是电视剧，也是巴以问题。五星喜剧片，全程无尿点，结尾更是绝妙。居然能用言情烂俗喜剧把巴以问题讲透！杰作。
ocean1,梦朝大海,https://www.douban.com/people/ocean1/,特拉维夫在燃烧,推荐,戴着镣铐跳舞才诞生了这样好的喜剧。
61290521,荒井波萝,https://www.douban.com/people/61290521/,特拉维夫在燃烧,较差,@TIFF31st | 181026 & EX THEATER Roppongi  中途睡着两次 旁边日本人的樟脑丸味香水真的熏得我 第一次在日本见这么热闹的电影院 可是我一次都笑不出来。。。。
wanger0619,451½°F™,https://www.douban.com/people/wanger0619/,特拉维夫在燃烧,较差,用（戏内戏外）通俗剧类型和「戏中戏」的形式讽刺民族矛盾与战争背后的价值观冲突本质上和看烂俗剧的民众心态毫无区别，只是电影叙述过程中充斥着的狗血剧风格究竟是有意为之还是习惯使然？
ifanmu,梵目,https://www.douban.com/people/ifanmu/,特拉维夫在燃烧,推荐,以爱之名，行权之实。
EarlVampire,温斯顿.史密斯,https://www.douban.com/people/EarlVampire/,特拉维夫在燃烧,力荐,笑中带泪，很少能够将苦难拍成喜剧吧。中东片中，常见的只有伊朗的讲述战争痛苦，和封闭带来的痛苦，但是以以色列和巴勒斯坦关系为背景的电影还是极少的，而且能够拍成这个样子，在喜剧中体现冲突，在冲突中体现痛苦的，不容易。。。
luoxuan2379,死咗,https://www.douban.com/people/luoxuan2379/,特拉维夫在燃烧,推荐,没有什么能逃离政治，也没有什么能逃离电视剧。
140404503,英年早睡,https://www.douban.com/people/140404503/,特拉维夫在燃烧,推荐,男性与女性之间观点角度的差异；种族文化的冲突；处于领导地位的一代与尝试改革的下一代之间的矛盾；文化工作者与投资者对创作理念的不同，每个人都利用其职位与权力尝试把自己的想法硬塞进剧内。编剧一直被赞“你的听力很好”，表面上意思似乎在赞他善于听取各方面的意见，实际上是暗指他毫无话语权，只是个被各方权力控制的傀儡，创作者的意志被扼杀，这也许是编剧这个职业所处的困局。
49213881,华盛顿樱桃树,https://www.douban.com/people/49213881/,特拉维夫在燃烧,还行,戏中戏设置，张力不足，但胜在认真周到态度严谨。
dreamending,王写写,https://www.douban.com/people/dreamending/,特拉维夫在燃烧,还行,比较工整的喜剧片，通过一个编剧的视角，用电视剧拍摄轶事来反映巴以关系。但在核心议题上挖掘不够，也或许导演并不想让影片过于政治化。人物关系的演进和叙事结构都很常规，好在较为流畅。
