uid,name,url,movie_name,rating,comment
zhangzongqian,亵渎电影,https://www.douban.com/people/zhangzongqian/,要强的人,还行,该甜的地方还挺甜的。
70379849,Roy Luo,https://www.douban.com/people/70379849/,要强的人,推荐,导演是看了多少同志片拍出来的啊。厨房play、看烟花、闻气味、骑单车、咬手指、穿对方衣服……真是集大成之作😂
145304429,kintonglee,https://www.douban.com/people/145304429/,要强的人,力荐,the Weekend in God's Own Country
3540441,同志亦凡人中文站,https://www.douban.com/people/3540441/,要强的人,推荐,仿佛又被带回智利那条乍雨乍晴的狭长海岸线。导演把自己获得泰迪熊奖的短片改编成长片，从静谧风景中开辟出一个属于两人的小泡沫。哪怕它注定会被戳破，但在这之前他们拥有最完整的亲密，每一次做爱都是一场潮汐。颜狗天堂的爱别离。
15401327,Sabrina,https://www.douban.com/people/15401327/,要强的人,还行,所西班牙语的，别管欧洲还是南美洲，面部轮廓都近乎完美。是否有统计同性恋的人英俊水准要高于异性恋啊？这两个男人都好帅啊！
wzptoby,打少,https://www.douban.com/people/wzptoby/,要强的人,推荐,开头的互相吸引甜到爆炸，外加没有手机混淆时代感的朦胧美。
jundle,盲忙,https://www.douban.com/people/jundle/,要强的人,推荐,导演一定喜欢《断背山》和《周末时光》，很多恰到好处的致敬，正如这个故事，一切都恰到好处，也正因为这样，让我们身边只有故事没有童话，这才是成年人的世界吧。
68499588,天马星,https://www.douban.com/people/68499588/,要强的人,推荐,南美同影善于营造氛围主打情感体验，本片在这方面更是一绝，黄昏朝霞，海滩海雾，情欲如同氤氲的海雾越来越浓，又似脆弱的泡沫一触就破，现实如同远山的轮廓缓慢消失，又似天边的朝霞渐渐清晰，虽然注定分别，但并没有苦大仇深，反而是用很多小细节来撩拨观众，加上两个男主笑的很甜，这可能是今年看的最好的同影了。
57967850,身居地狱求杯水,https://www.douban.com/people/57967850/,要强的人,推荐,I'll catch you on the flipside😭
zaneee,Dioretsa-Z,https://www.douban.com/people/zaneee/,要强的人,还行,智利旅游风光片，烟火点题，绚丽短暂。
norasora,那个颠覆,https://www.douban.com/people/norasora/,要强的人,推荐,- 你也打呼噜吗？- 偶尔会。
Invisible___,無 念。,https://www.douban.com/people/Invisible___/,要强的人,还行,看完想去智利旅游。
enderstar,Unbeliever,https://www.douban.com/people/enderstar/,要强的人,很差,不至于天雷滚滚但的确是乱七八糟
128095550,试飞时期,https://www.douban.com/people/128095550/,要强的人,推荐,很唯美很沉静的片子。智利绵长的海岸线、蓝紫色的海面、风吹拂过的山岗，都是爱肆意滋长的地方。与爱人在清晨相拥起舞，于雨夜纵情交欢，在城墙堡垒间瞥见生灵，于葱郁的山林间追逐原野....最后，把所有的美好留给回忆，把所有的欢愉汇成离别。
muto,Muto,https://www.douban.com/people/muto/,要强的人,推荐,我是谁？从哪来？到哪去？对于《要强的人》来说，这是同一个复杂而现实的问题。人类命运共同体听上去像是一个形而上的骨架，但这部电影以及这次疫情都为它添上了具体的血肉。历史就在我们眼前——可触可感。爱情在历史长河里犹如浪潮亦如烟花般短暂而璀璨，真是不枉我们在遗忘与铭记中各自奔赴下一站。
93741018,Rochee,https://www.douban.com/people/93741018/,要强的人,推荐,也太甜了吧！热恋期的那种兴奋紧张激动开心都拍出来了，虽然现实不可逃避，但至少与你有过浪漫回忆。
luzhiyu,陆支羽,https://www.douban.com/people/luzhiyu/,要强的人,推荐,3.5。
simpledragon,十六。,https://www.douban.com/people/simpledragon/,要强的人,还行,有什么比在林中小屋建立爱巢更完美的场景，有什么比离别本身更成为值得吵架的理由，有什么比看花船、赏烟花更适合与爱人接吻的时刻。那种喜欢上一个人的雀跃，和无法再相偎相守的落寞，应该是同等的刺痛心脏吧。
ifanmu,梵目,https://www.douban.com/people/ifanmu/,要强的人,推荐,南美太会拍了，美好
mo_eric,墨里柯,https://www.douban.com/people/mo_eric/,要强的人,力荐,这样的故事在自己身上也发生过几次，但最后依旧是选择电影里他们做的那样，各自坚持各自的生活，对于初识的恋人来说或许把赌注放在自己的身上来得更安全，心中怀着遗憾又带着对未来的憧憬，那个人一定在远方，他只不过是过客而已～但思念还是会如约而至，而自己身边依旧是过客匆匆。也许这个过客就是命中注定的呢？谁也不晓得…
129828192,🍄,https://www.douban.com/people/129828192/,要强的人,推荐,我哭了。很窝心。上豆瓣才知道译名是“要强的人”，哭了。
68578553,Eudilav,https://www.douban.com/people/68578553/,要强的人,推荐,美到肝颤，我终将遗忘梦境中的那些路径、山峦与田野，遗忘那些永远不能实现的梦。
43087284,水包酱,https://www.douban.com/people/43087284/,要强的人,力荐,对世界尽头景色的摄影 会让人有身临其境的代入感 氤氲升腾的雾气中 19世纪的战争被一遍遍排练重演 闭上眼睛倾听海浪拍打海鸥鸣叫 就会错觉时间在这里从未真正走动。两位男主长得好看 也有化学反应 相互吸引和渴望在他们身上迸发得淋漓尽致 喜欢看他们每一次在外面情难自禁的亲吻 在小木屋的缠绵和相拥而眠 可甜梦醒后便要南北相隔 最后那句Acompáñame hasta el otro lado?(陪我到另一边吗) 听得差点掉泪。或许他们之间还有续篇 也或许这就是这个故事 或者很多故事的结局。但此去经年在某个午后 会想起那个早晨醒来和那个人跳的那支舞 这个刹那宇宙拒绝永久 一生拥有这场旅行也就足够
55302987,导游_Eric,https://www.douban.com/people/55302987/,要强的人,推荐,若你终将离我而去，我希望我可以飞到世界的另一半等你，please do not go，please stay with me
169876891,飞侠式拼搏,https://www.douban.com/people/169876891/,要强的人,还行,两人的爱情就犹如那场烟火，美好绚丽。只是这样的美丽过于短暂，还没准备好就已离去。
171282164,西西里的朗读者,https://www.douban.com/people/171282164/,要强的人,推荐,"挺好，很甜，风景，镜头都不错
212"
189309984,thefinNga,https://www.douban.com/people/189309984/,要强的人,推荐,很漂亮 各方面的漂亮 “come with me to the other side?”
GarfieldinNJ,Leon,https://www.douban.com/people/GarfieldinNJ/,要强的人,力荐,“就算写成了一望燎原的十四行 从不曾比得上末日清晨 你在我胡渣上吻出的 那灭世核爆的风景”
117360143,敖雾,https://www.douban.com/people/117360143/,要强的人,较差,真的得警惕这种人美景美的片子，一不小心就抱着高期待了。现在这些同志片都太过于typical，反正就是从小心翼翼保护起来的好感，到某个晚上酒精促使下的试探，然后变成无处安放的性欲，最后走向无可奈何的分别。中间再加点社会评论元素、或者身份认同问题，基本就拼成了一部能上8分的同志电影。配分的陈旧，说明这样的配分最好用、最有效、最有力，但同时也对剧本的打磨提出了更高的要求。
lightreus,willamette,https://www.douban.com/people/lightreus/,要强的人,还行,剧本还是挺普通的，但是自然风光美，俩男主也是好看的
47929210,yfxlavender,https://www.douban.com/people/47929210/,要强的人,推荐,淡淡的感觉。海边小镇上一段美好的恋情。
rudygiraffe,SundanceKid🌈,https://www.douban.com/people/rudygiraffe/,要强的人,还行,我的爱如潮水 将我向你推。拥抱代替睡眠，烟花收起了夜幕，亲吻忘记了时日，最后一个人在船上另一个人驱车回去。知道总会是这样，还是很难受
yangchangyi520,巴鸡！,https://www.douban.com/people/yangchangyi520/,要强的人,推荐,还不错的小品 小镇青年爱上都市文艺男的故事 本来觉得他们更像悠长假期的炮友 但想了想 也许这种短暂的爱而不得 也是爱情的一种吧 …喜欢船长的每一件衣服。里面几段床戏 优点是拍得很美 但缺点是每次主角之间情绪递进和转折都通过床戏 就有点太简单粗暴了 …不过整体拍的还是很美的 犹如智利的美好阳光。
14196915,X,https://www.douban.com/people/14196915/,要强的人,推荐,前两年看到这样的电影应该会心跳加速才是啊
ruilixiurui,锐利修蕊,https://www.douban.com/people/ruilixiurui/,要强的人,力荐,"与《冷战》结尾如出一辙，是用“另一边”作密语的残酷邀请，这项只携彼此通往幸福结局的理想暗号，是爱情电影的告别。但真实世界所言不虚，则是一句分隔或许永不再见的拒绝。从第一次见面偷看的眼神，到彼此生涩但默契不可抗的拥抱，再到由心撕扯拉开距离的裂纹。导演环顾整个同志影史，暗色的舞蹈，迷离恍惚地明了又灭。曾一起看过烟火，一起在车内呼吸过对方吐出的二氧化碳，所有成型和未能成行的记忆，都让我们“很后来的遇见”有了意义。虽然深知我们没办法在一起了，可只要想到你在远方如我一般思念着你那样记挂着我，这就是我们最好的遇见。""Feathers on my breath. Teardrop on the fire.""❤世间相遇又分别都极相似，唯独有可能的重逢才让生命延长成不可说的奇迹。电影后劲儿大到让我又梦到你了。"
zhengshuashua,茶农老郑🌈,https://www.douban.com/people/zhengshuashua/,要强的人,推荐,温柔，美好，真的爱情。前面看得美滋滋，后面看得泪汪汪。两个人都好看温柔，只是生活啊生活。。。
155114190,AlanX,https://www.douban.com/people/155114190/,要强的人,力荐,嵌入那残垣围墙，那礁石岸边，那狂欢节盛夜里两个人的背影是绚烂而美好的回忆。离开需要勇气，留下亦需要勇气。做一个要强的人，分别不需要眼泪，感谢曾经。
stupidcat7652,傻乐的猫,https://www.douban.com/people/stupidcat7652/,要强的人,力荐,一般演员太漂亮很容易让观众代入感不够，这个是例外，眼睛里有情的大帅哥男演员，难得！ 亲热戏也“异常”自然（应该和俩演员的熟悉度和默契度有关），这个更难得了，大多数同性恋电影一到亲热戏就掉链子了。拍摄手法处处致敬断背山，
75215757,淋,https://www.douban.com/people/75215757/,要强的人,力荐,"南美同影的美学造诣领先全球二十年！结局我寻摸着导演可能过几年还能来个续集哈哈哈
PS：内裤什么牌子？弹性好好哦"
164863023,皮克的老婆,https://www.douban.com/people/164863023/,要强的人,力荐,终于看到了两个正常人之间的爱恋，上次看到这么写实的片子还是《上帝之国》。不得不说拉美是同志电影的宝地，颜值高尺度大且没有欧美那边zzzq因素的精神污染。
